PID,COND,Incline,Assistance,Speed,Rsq,NRMSE
S01,1,5,15,85,0.8809,0.1329
S01,2,5,15,115,0.6025,0.27
S01,3,5,15,100,0.5163,0.3339
S01,4,5,0,85,0.8578,0.1468
S01,5,5,0,115,0.7753,0.1777
S01,6,5,0,100,0.7934,0.1767
S01,7,0,0,85,0.6226,0.2856
S01,8,0,0,100,0.7035,0.2326
S01,9,0,0,115,0.6845,0.239
S01,10,0,15,100,0.6208,0.2789
S01,11,0,15,85,0.5587,0.3229
S01,12,0,15,115,0.6846,0.2377
S02,1,5,15,100,0.8256,0.1532
S02,2,5,15,85,0.8954,0.1073
S02,3,5,15,115,0.8572,0.1296
S02,4,5,0,100,0.9028,0.1055
S02,5,5,0,115,0.8965,0.1038
S02,6,5,0,85,0.8126,0.1527
S02,7,0,15,100,0.5591,0.2997
S02,8,0,15,115,0.6329,0.2544
S02,9,0,15,85,0.6748,0.2405
S02,10,0,0,115,0.6621,0.2236
S02,11,0,0,100,0.8035,0.1569
S02,12,0,0,85,0.8403,0.1371
S04,1,5,0,100,0.787,0.1718
S04,2,5,0,85,0.9159,0.1016
S04,3,5,0,115,0.8812,0.1178
S04,4,5,15,115,0.8707,0.1274
S04,5,5,15,100,0.7999,0.1666
S04,6,5,15,85,0.6757,0.2348
S04,7,0,15,85,0.6921,0.2367
S04,8,0,15,100,0.8598,0.1388
S04,9,0,15,115,0.7058,0.215
S04,10,0,0,100,0.9031,0.1106
S04,11,0,0,85,0.8799,0.1245
S04,12,0,0,115,0.9093,0.1043
S05,1,0,0,115,0.7142,0.2283
S05,2,0,0,85,0.7006,0.2356
S05,3,0,0,100,0.7463,0.2107
S05,4,0,15,100,0.8356,0.1631
S05,5,0,15,115,0.814,0.1739
S05,6,0,15,85,0.8418,0.1615
S05,7,5,0,100,0.7804,0.1765
S05,8,5,0,115,0.8184,0.1461
S05,9,5,0,85,0.8296,0.1465
S05,10,5,15,100,0.817,0.1564
S05,11,5,15,115,0.774,0.1705
S05,12,5,15,85,0.8622,0.1288
S06,1,5,0,85,0.7689,0.1873
S06,2,5,0,100,0.7646,0.1835
S06,3,5,0,115,0.8223,0.1483
S06,4,5,15,100,0.7378,0.1998
S06,5,5,15,115,0.7739,0.1733
S06,6,5,15,85,0.7874,0.1718
S06,7,0,0,100,0.713,0.2217
S06,8,0,0,85,0.8049,0.1703
S06,9,0,0,115,0.6047,0.2792
S06,10,0,15,115,0.7401,0.2145
S06,11,0,15,100,0.6255,0.2695
S06,12,0,15,85,0.5568,0.3135
S07,1,5,15,85,0.8282,0.1533
S07,2,5,15,100,0.8031,0.1547
S07,3,5,15,115,0.7866,0.1637
S07,4,5,0,115,0.7974,0.1548
S07,5,5,0,85,0.8378,0.1367
S07,6,5,0,100,0.848,0.1306
S07,7,0,0,100,0.8126,0.1522
S07,8,0,0,85,0.6471,0.2328
S07,9,0,0,115,0.7594,0.177
S07,10,0,15,115,0.8467,0.1305
S07,11,0,15,100,0.8409,0.1438
S07,12,0,15,85,0.906,0.1058
S08,1,0,0,115,0.8751,0.1302
S08,2,0,0,85,0.9436,0.0853
S08,3,0,0,100,0.9145,0.1049
S08,4,0,15,100,0.7499,0.2007
S08,5,0,15,115,0.7095,0.22
S08,6,0,15,85,0.6057,0.2806
S08,7,5,15,85,0.8226,0.1565
S08,8,5,15,115,0.8922,0.1124
S08,9,5,15,100,0.9049,0.1046
S08,10,5,0,85,0.8053,0.1565
S08,11,5,0,100,0.8838,0.1159
S08,12,5,0,115,0.8933,0.1086
S09,1,0,15,115,0.8775,0.1326
S09,2,0,15,85,0.8248,0.1592
S09,3,0,15,100,0.8649,0.1358
S09,4,0,0,85,0.8329,0.149
S09,5,0,0,100,0.9043,0.1079
S09,6,0,0,115,0.7844,0.1701
S09,7,5,0,85,0.8469,0.1354
S09,8,5,0,115,0.8559,0.1322
S09,9,5,0,100,0.8753,0.1191
S09,10,5,15,115,0.9245,0.0925
S09,11,5,15,85,0.9097,0.1042
S09,12,5,15,100,0.8013,0.1588
S10,1,0,0,115,0.9128,0.1033
S10,2,0,0,85,0.9016,0.1105
S10,3,0,0,100,0.863,0.136
S10,4,0,15,100,0.9047,0.1082
S10,5,0,15,85,0.9071,0.1052
S10,6,0,15,115,0.8765,0.124
S10,7,5,0,115,0.8413,0.1358
S10,8,5,0,85,0.8561,0.1291
S10,9,5,0,100,0.8073,0.1534
S10,10,5,15,85,0.8348,0.1399
S10,11,5,15,100,0.8466,0.1342
S10,12,5,15,115,0.7443,0.1794
