PID,COND,Incline,Assistance,Speed,Rsq,NRMSE
S01,1,5,15,85,0.9195,0.107
S01,2,5,15,115,0.9456,0.0797
S01,3,5,15,100,0.9467,0.0818
S01,4,5,0,85,0.9826,0.048
S01,5,5,0,115,0.9727,0.0553
S01,6,5,0,100,0.973,0.0576
S01,7,0,0,85,0.983,0.0482
S01,8,0,0,100,0.9795,0.0519
S01,9,0,0,115,0.9161,0.1065
S01,10,0,15,100,0.9614,0.0715
S01,11,0,15,85,0.9304,0.0994
S01,12,0,15,115,0.8974,0.1184
S02,1,5,15,100,0.863,0.1328
S02,2,5,15,85,0.9664,0.0585
S02,3,5,15,115,0.8923,0.1103
S02,4,5,0,100,0.9773,0.0489
S02,5,5,0,115,0.9713,0.0525
S02,6,5,0,85,0.9352,0.0837
S02,7,0,15,100,0.9204,0.0993
S02,8,0,15,115,0.8275,0.1525
S02,9,0,15,85,0.786,0.1807
S02,10,0,0,115,0.8696,0.1212
S02,11,0,0,100,0.9544,0.0693
S02,12,0,0,85,0.8955,0.1074
S03,1,0,15,115,0.9118,0.1097
S03,2,0,15,100,0.9672,0.0671
S03,3,0,15,85,0.9676,0.0663
S03,4,0,0,85,0.9183,0.1078
S03,5,0,0,115,0.9439,0.0835
S03,6,0,0,100,0.9376,0.0884
S03,7,5,15,85,0.9652,0.062
S03,8,5,15,100,0.9851,0.0401
S03,9,5,15,115,0.9591,0.0648
S03,10,5,0,85,0.9742,0.0503
S03,11,5,0,115,0.9648,0.0596
S03,12,5,0,100,0.965,0.0582
S04,1,5,0,100,0.8869,0.1179
S04,2,5,0,85,0.9427,0.0827
S04,3,5,0,115,0.9336,0.0856
S04,4,5,15,115,0.9262,0.0933
S04,5,5,15,100,0.9564,0.0711
S04,6,5,15,85,0.9516,0.0764
S04,7,0,15,85,0.9167,0.107
S04,8,0,15,100,0.9069,0.1102
S04,9,0,15,115,0.9431,0.0818
S04,10,0,0,100,0.8747,0.1278
S04,11,0,0,85,0.8313,0.1518
S04,12,0,0,115,0.9365,0.086
S05,1,0,0,115,0.9143,0.1105
S05,2,0,0,85,0.9652,0.0684
S05,3,0,0,100,0.9861,0.0429
S05,4,0,15,100,0.9667,0.0682
S05,5,0,15,115,0.9624,0.072
S05,6,0,15,85,0.9747,0.06
S05,7,5,0,100,0.9508,0.0757
S05,8,5,0,115,0.9677,0.0566
S05,9,5,0,85,0.9777,0.0489
S05,10,5,15,100,0.9888,0.0353
S05,11,5,15,115,0.9806,0.0444
S05,12,5,15,85,0.9815,0.0442
S06,1,5,0,85,0.953,0.0759
S06,2,5,0,100,0.9574,0.0697
S06,3,5,0,115,0.9311,0.0868
S06,4,5,15,100,0.8681,0.1306
S06,5,5,15,115,0.9775,0.0487
S06,6,5,15,85,0.939,0.0842
S06,7,0,0,100,0.947,0.0827
S06,8,0,0,85,0.9098,0.1089
S06,9,0,0,115,0.9382,0.0886
S06,10,0,15,115,0.9001,0.1205
S06,11,0,15,100,0.9568,0.074
S06,12,0,15,85,0.9572,0.0743
S07,1,5,15,85,0.9779,0.0506
S07,2,5,15,100,0.9551,0.0678
S07,3,5,15,115,0.9725,0.0529
S07,4,5,0,115,0.9822,0.0413
S07,5,5,0,85,0.9798,0.0446
S07,6,5,0,100,0.9616,0.0616
S07,7,0,0,100,0.9749,0.0508
S07,8,0,0,85,0.9583,0.0658
S07,9,0,0,115,0.9425,0.0776
S07,10,0,15,115,0.8742,0.1164
S07,11,0,15,100,0.914,0.1014
S07,12,0,15,85,0.9533,0.0727
S08,1,0,0,115,0.9517,0.0777
S08,2,0,0,85,0.9817,0.0476
S08,3,0,0,100,0.9655,0.0649
S08,4,0,15,100,0.966,0.0652
S08,5,0,15,115,0.9564,0.0734
S08,6,0,15,85,0.9157,0.1055
S08,7,5,15,85,0.9269,0.0947
S08,8,5,15,115,0.9795,0.0468
S08,9,5,15,100,0.9683,0.0583
S08,10,5,0,85,0.9808,0.0445
S08,11,5,0,100,0.9753,0.0509
S08,12,5,0,115,0.9823,0.0422
S09,1,0,15,115,0.9001,0.1183
S09,2,0,15,85,0.9329,0.0927
S09,3,0,15,100,0.9677,0.0628
S09,4,0,0,85,0.9372,0.0861
S09,5,0,0,100,0.9598,0.0679
S09,6,0,0,115,0.8984,0.1091
S09,7,5,0,85,0.952,0.0715
S09,8,5,0,115,0.9725,0.0542
S09,9,5,0,100,0.9753,0.0501
S09,10,5,15,115,0.9728,0.0541
S09,11,5,15,85,0.9675,0.0606
S09,12,5,15,100,0.9708,0.0553
S10,1,0,0,115,0.9323,0.0901
S10,2,0,0,85,0.9255,0.0949
S10,3,0,0,100,0.9264,0.0962
S10,4,0,15,100,0.8777,0.1244
S10,5,0,15,85,0.9429,0.0809
S10,6,0,15,115,0.9325,0.0889
S10,7,5,0,115,0.9696,0.0553
S10,8,5,0,85,0.9587,0.0654
S10,9,5,0,100,0.9737,0.0516
S10,10,5,15,85,0.9865,0.0368
S10,11,5,15,100,0.964,0.0609
S10,12,5,15,115,0.9452,0.0737
